repeat_id,algorithm_name,search_mode,job_id,gpu_need,combo,predicted_standalone_bw,predicted_final_bw,real_standalone_bw,real_final_bw,real_contention_ratio,real_cluster_throughput,num_active_jobs
11,BandDisp,model_prediction,3,12,"[0,2,2,8]",73.52375030517578,19.29250628197742,64.77,18.31742810188989,0.28280728889748175,535.4499999999999,4
12,BandDisp,model_prediction,0,14,"[6,0,0,8]",143.2788543701172,143.2788543701172,148.44,148.44,1.0,148.44,1
12,BandDisp,model_prediction,1,12,"[2,3,7,0]",74.20706176757812,17.976094348470287,68.53,20.861900262709128,0.30441996589390236,66.05,2
12,BandDisp,model_prediction,2,6,"[0,5,1,0]",227.41,62.20083224033094,39.38,18.67730886850153,0.47428412566027245,84.72730886850152,3
13,BandDisp,model_prediction,0,4,"[4,0,0,0]",243.63,243.63,244.7,244.7,1.0,244.7,1
13,BandDisp,model_prediction,1,12,"[4,8,0,0]",138.80914306640625,138.80914306640625,141.27,141.27,1.0,385.97,2
13,BandDisp,model_prediction,2,2,"[0,0,2,0]",205.58,205.58,204.92,204.92,1.0,590.89,3
13,BandDisp,model_prediction,3,4,"[0,0,0,4]",242.9,242.9,244.7,244.7,1.0,835.5899999999999,4
13,BandDisp,model_prediction,4,10,"[0,0,6,4]",137.12167358398438,137.12167358398438,142.12,142.12,1.0,977.7099999999999,5
14,BandDisp,model_prediction,0,2,"[2,0,0,0]",207.4,207.4,204.92,204.92,1.0,204.92,1
14,BandDisp,model_prediction,1,4,"[0,4,0,0]",242.6,242.6,244.7,244.7,1.0,449.62,2
14,BandDisp,model_prediction,2,4,"[0,4,0,0]",242.96,242.96,244.7,244.7,1.0,694.3199999999999,3
14,BandDisp,model_prediction,3,4,"[0,0,0,4]",242.9,242.9,244.7,244.7,1.0,939.02,4
14,BandDisp,model_prediction,4,6,"[6,0,0,0]",228.85,228.85,232.24,232.24,1.0,1171.26,5
14,BandDisp,model_prediction,5,2,"[0,0,2,0]",205.58,205.58,204.92,204.92,1.0,1376.18,6
14,BandDisp,model_prediction,6,10,"[0,0,6,4]",137.12167358398438,137.12167358398438,142.12,142.12,1.0,1518.3000000000002,7
15,BandDisp,model_prediction,0,4,"[4,0,0,0]",243.63,243.63,244.7,244.7,1.0,244.7,1
15,BandDisp,model_prediction,1,6,"[0,0,6,0]",228.09,228.09,232.24,232.24,1.0,476.94,2
15,BandDisp,model_prediction,2,2,"[0,2,0,0]",205.92,205.92,204.92,204.92,1.0,681.86,3
