test_num,repeat,algo,result,bw
8,14,upper_BandDisp,[1 0 0 0 0 0 1 1 0 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],129.88
8,14,Max_bw,"[4, 2, 2]",129.88
13,4,myalgo,[1 1 0 0 0 0 1 1 1 1 1 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 1],42.6
13,4,upper_BandDisp,[0 1 0 0 0 0 1 1 1 1 1 0 1 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 1],68.37
13,4,Max_bw,"[5, 4, 4]",68.37
27,1,myalgo,[1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 0 1 0 1 1 1 1 1 1],69.35
27,1,upper_BandDisp,[0 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1],99.18
27,1,Max_bw,"[8, 7, 6, 6]",99.18
27,3,myalgo,[1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 0],69.35
27,3,upper_BandDisp,[0 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],99.18
27,3,Max_bw,"[8, 7, 6, 6]",99.18
27,5,myalgo,[1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 1 1],69.35
27,5,upper_BandDisp,[1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 1 1],99.18
27,5,Max_bw,"[8, 7, 6, 6]",99.18
27,6,myalgo,[1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 0 1 1 1 1 1],69.35
