OP,GPU_num,GPU_used,data_size(B),Bandwidth(GB/s)
all_reduce_perf,5,14567,2147483648,405.87
all_reduce_perf,5,23456,2147483648,411.22
all_reduce_perf,5,23457,2147483648,410.54
all_reduce_perf,5,23467,2147483648,410.93
all_reduce_perf,5,23567,2147483648,410.72
all_reduce_perf,5,24567,2147483648,412.55
all_reduce_perf,5,34567,2147483648,412.49
all_reduce_perf,6,012345,2147483648,433.42
all_reduce_perf,6,012346,2147483648,431.25
all_reduce_perf,6,012347,2147483648,432.39
all_reduce_perf,6,012356,2147483648,430.20
all_reduce_perf,6,012357,2147483648,432.39
all_reduce_perf,6,012367,2147483648,432.78
all_reduce_perf,6,012456,2147483648,431.72
all_reduce_perf,6,012457,2147483648,431.23
all_reduce_perf,6,012467,2147483648,431.58
all_reduce_perf,6,012567,2147483648,430.51
all_reduce_perf,6,013456,2147483648,431.33
all_reduce_perf,6,013457,2147483648,431.26
all_reduce_perf,6,013467,2147483648,431.40
all_reduce_perf,6,013567,2147483648,431.40
all_reduce_perf,6,014567,2147483648,431.43
all_reduce_perf,6,023456,2147483648,432.34
all_reduce_perf,6,023457,2147483648,431.24
all_reduce_perf,6,023467,2147483648,430.79
all_reduce_perf,6,023567,2147483648,432.06
all_reduce_perf,6,024567,2147483648,431.72
all_reduce_perf,6,034567,2147483648,432.42
all_reduce_perf,6,123456,2147483648,433.14
all_reduce_perf,6,123457,2147483648,431.47
all_reduce_perf,6,123467,2147483648,431.06
all_reduce_perf,6,123567,2147483648,431.66
all_reduce_perf,6,124567,2147483648,431.55
all_reduce_perf,6,134567,2147483648,432.91
all_reduce_perf,6,234567,2147483648,432.31
all_reduce_perf,7,0123456,2147483648,458.37
all_reduce_perf,7,0123457,2147483648,460.21
all_reduce_perf,7,0123467,2147483648,460.43
all_reduce_perf,7,0123567,2147483648,460.78
all_reduce_perf,7,0124567,2147483648,461.01
all_reduce_perf,7,0134567,2147483648,460.53
all_reduce_perf,7,0234567,2147483648,460.75
all_reduce_perf,7,1234567,2147483648,460.66
all_reduce_perf,8,01234567,2147483648,473.50
